"File","Illuminate","DB","Eloquent","Http","Total"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Despacho\Repositories\DesparChoParcialesRepository.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Despacho\Services\DesparChoParcialesPersistenceService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\DTOs\PedidoNormalizadorDTO.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Listeners\ActualizarEstadisticasPrendas.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\QueryHandlers\BuscarPedidoPorNumeroHandler.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\QueryHandlers\FiltrarPedidosPorEstadoHandler.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\QueryHandlers\ListarPedidosHandler.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\QueryHandlers\ObtenerPedidoHandler.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\CaracteristicasPrendaService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\ColorTelaService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\FormularioPedidoService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\GestionItemsPedidoService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\ImagenMapperService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\ItemTransformerService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\LogoPedidoService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\MapeoImagenesService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\PrendaBaseCreatorService.php","1","0","0","0","1"
"C:\Users\Usuario\Documents\mundoindustrial\app\Domain\Pedidos\Services\PrendaDataNormalizerService.php","1","0","0","0","1"
